FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE,CENTROCOSTE2,CENTROCOSTE3,Nom Cost Center,Nom Project
3/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,25.00 ,1150,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/15/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,11.00 ,649,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
3/23/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,439,(1.00),0,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
10/25/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,10.00 ,510,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/25/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,9.00 ,414,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
6/1/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,857,11.00 ,649,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
10/9/2018,705205,Inscripción ROBOTIX Infantil,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,10.00 ,300,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/9/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,29.00 ,870,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/9/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,10.00 ,255,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/9/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,9.00 ,207,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/9/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,8.00 ,184,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/9/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,7.00 ,206.5,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
12/28/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,10.00 ,510,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
12/28/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,9.00 ,414,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
12/28/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,8.00 ,368,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
12/28/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,2087,8.00 ,496,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/9/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1423,5.00 ,147.5,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,(8.00),-184,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,(7.00),-206.5,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
3/23/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,400,5.00 ,230,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
10/15/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,(5.00),-147.5,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
4/16/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,549,11.00 ,561,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
4/16/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,549,25.00 ,1150,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
4/16/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,549,11.00 ,649,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
10/15/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,(29.00),-870,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,(10.00),-255,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,(9.00),-207,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705205,Inscripción ROBOTIX Infantil,33,FUNDACION ESCUELA SUIZA DE BARCELONA,1446,(10.00),-300,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1448,4.00 ,240,14,141,14120,MATERIALS I SERVEIS A ESCOLES I EMPRESES,SERVEIS DE FORMACIÓ LE PER ESCOLA I EMPRESA
10/15/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1449,4.00 ,240,14,141,14120,MATERIALS I SERVEIS A ESCOLES I EMPRESES,SERVEIS DE FORMACIÓ LE PER ESCOLA I EMPRESA
10/15/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1451,4.00 ,240,14,141,14120,MATERIALS I SERVEIS A ESCOLES I EMPRESES,SERVEIS DE FORMACIÓ LE PER ESCOLA I EMPRESA
1/31/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",162,1.00 ,240,14,141,14120,MATERIALS I SERVEIS A ESCOLES I EMPRESES,SERVEIS DE FORMACIÓ LE PER ESCOLA I EMPRESA
1/31/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",162,1.00 ,240,14,141,14120,MATERIALS I SERVEIS A ESCOLES I EMPRESES,SERVEIS DE FORMACIÓ LE PER ESCOLA I EMPRESA
10/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,10.00 ,255,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,9.00 ,207,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,8.00 ,184,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,7.00 ,206.5,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/15/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1447,5.00 ,147.5,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/25/2018,705225,Formación ROBOTIX 2 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,8.00 ,368,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
3/2/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",310,1.00 ,240,14,141,14120,MATERIALS I SERVEIS A ESCOLES I EMPRESES,SERVEIS DE FORMACIÓ LE PER ESCOLA I EMPRESA
10/25/2018,705237,Formación ROBOTIX 4 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,7.00 ,413,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
10/25/2018,705239,Formación ROBOTIX 5 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,1541,5.00 ,295,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
