FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Oferta),BASEMONEDA (importe),Unidades,CENTROCOSTE3
9/10/2018,45544PA12,Pack aula LEGO MINDSTORMS Education EV3 12 alumnos,1993,Institut Mediterrània,1008,"1,425.55",1.00,14110
9/10/2018,1LA45544,Certificación Básica LEGO MINDSTORMS Education EV3,1993,Institut Mediterrània,1008,600.00,4.00,14120
9/10/2018,9998,Garantía anual - No question,1993,Institut Mediterrània,1008,71.27,1.00,14110
9/10/2018,45544PA12,Pack aula LEGO MINDSTORMS Education EV3 12 alumnos,2012,Escola Roc Alabern,1006,"1,425.55",1.00,14110
9/10/2018,9998,Garantía anual - No question,2012,Escola Roc Alabern,1006,71.27,1.00,14110
9/12/2018,45300,LEGO® Education WeDo 2.0 Core Set,2025,CEIP Rodriguez de Celis,1014,571.92,4.00,14110
9/12/2018,9656,Early Simple Machines Set,2025,CEIP Rodriguez de Celis,1014,151.49,1.00,14110
9/12/2018,9689,Simple Machines Set,2025,CEIP Rodriguez de Celis,1014,54.99,1.00,14110
9/12/2018,1LA45300ONL,Certificació Bàsica LEGO Education WeDo 2.0 Online,2025,CEIP Rodriguez de Celis,1014,95.00,1.00,14120
9/12/2018,9998,Garantía anual - No question,2025,CEIP Rodriguez de Celis,1014,38.92,1.00,14110
9/25/2018,45300,LEGO® Education WeDo 2.0 Core Set,2105,CEIP Nuestra Señora de la Paz,1106,285.96,2.00,14110
9/25/2018,9998,Garantía anual - No question,2105,CEIP Nuestra Señora de la Paz,1106,14.30,1.00,14110
9/25/2018,45300,LEGO® Education WeDo 2.0 Core Set,2105,CEIP Nuestra Señora de la Paz,1108,142.98,1.00,14110
9/25/2018,9686,Simple & Powered Machines Set,2105,CEIP Nuestra Señora de la Paz,1108,164.99,1.00,14110
9/25/2018,9998,Garantía anual - No question,2105,CEIP Nuestra Señora de la Paz,1108,15.40,1.00,14110
9/25/2018,45300,LEGO® Education WeDo 2.0 Core Set,2110,Colegio Sagrado Corazón - Fundación Spinola,1112,"1,143.84",8.00,14110
9/25/2018,9998,Garantía anual - No question,2110,Colegio Sagrado Corazón - Fundación Spinola,1112,57.19,1.00,14110
9/25/2018,45544PA12,Pack aula LEGO MINDSTORMS Education EV3 12 alumnos,2113,IES Joanot Martorell,1126,"1,425.55",1.00,14110
9/25/2018,245544,LEGO® MINDSTORMS Education EV3 Core Set + transformador,2113,IES Joanot Martorell,1127,"1,109.97",3.00,14110
9/25/2018,245544,LEGO® MINDSTORMS Education EV3 Core Set + transformador,2113,IES Joanot Martorell,1128,739.98,2.00,14110
9/27/2018,45300,LEGO® Education WeDo 2.0 Core Set,2165,CRA SIGLO XXI,1140,428.94,3.00,14110
10/1/2018,9998,Garantía anual - No question,2176,IES Mar de Alborán,1154,153.22,1.00,14110
10/10/2018,45024,STEAM Park,2264,CEIP Doctor Jimenez Rueda,1278,149.99,1.00,14110
10/10/2018,9656,Early Simple Machines Set,2264,CEIP Doctor Jimenez Rueda,1278,151.49,1.00,14110
10/10/2018,9076,Tubes Experiment Set,2264,CEIP Doctor Jimenez Rueda,1278,111.99,1.00,14110
10/10/2018,45005,StoryTales,2264,CEIP Doctor Jimenez Rueda,1278,96.99,1.00,14110
10/10/2018,45008,Math Train,2264,CEIP Doctor Jimenez Rueda,1278,94.99,1.00,14110
10/10/2018,45300,LEGO® Education WeDo 2.0 Core Set,2265,Stella Maris La Gavia,1279,0.00,5.00,14110
10/10/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,2265,Stella Maris La Gavia,1279,0.00,4.00,14110
10/10/2018,45517,Transformer 10V DC,2265,Stella Maris La Gavia,1279,0.00,2.00,14110
